Model,LSD ↓,Room-LSD ↓,Pref-LSD ↓,dmr ↑,CosSim ↑,RTF ↓
E1  No Processing,6.033,3.408,6.227,0.482,0.027,0.000
E2  Static Mode EQ,3.670,5.086,3.845,0.736,0.720,0.000
E3  Nercessian MLP [3],5.964,3.108,6.157,0.507,0.011,0.000
E4  Pepe CNN [4],5.809,2.872,6.000,0.504,0.032,0.000
E5  Sequential (E3→E2),3.573,4.767,3.743,0.767,0.732,0.000
E6  DSP Analytical,2.330,3.914,2.338,0.882,0.919,0.000
AC1 TCN+BiLSTM,0.853,5.236,0.996,0.947,0.982,0.001
AC2 TCN+GRU,0.860,5.238,1.005,0.946,0.982,0.000
AC3 TCN+Conformer,0.870,5.226,1.005,0.945,0.982,0.000
A0  Proposed ★,1.442,4.689,1.599,0.928,0.960,0.000
A1  w/o Room Input,2.897,6.049,3.044,0.832,0.862,0.000
A2  with Pref Loss,1.703,4.684,1.859,0.884,0.944,0.000
A3  w/o Pref Input,5.329,1.902,5.507,0.509,0.084,0.000
