Comparison,Metric,Δ mean,p (t-test),dz,Win%,Cond. Win%
A0 vs A1 (Room),LSD,-1.455,<0.001,-1.082,86.5%,86.5%
A0 vs A1 (Room),dmr,+0.096,<0.001,0.806,78.3%,81.3%
A0 vs A2 (with Pref Loss),LSD,-0.261,<0.001,-0.486,67.3%,67.3%
A0 vs A2 (with Pref Loss),dmr,+0.044,<0.001,0.404,49.6%,57.5%
A0 vs A3 (Pref Input),LSD,-3.886,<0.001,-4.226,100.0%,100.0%
A0 vs A3 (Pref Input),dmr,+0.420,<0.001,2.376,99.5%,99.6%
A0 vs E3,LSD,-4.522,<0.001,-3.702,99.7%,99.7%
A0 vs E3,dmr,+0.422,<0.001,2.329,99.1%,99.2%
A0 vs E4,LSD,-4.366,<0.001,-4.033,100.0%,100.0%
A0 vs E4,dmr,+0.425,<0.001,2.431,99.3%,99.4%
