comparison,metric,group_key,n_groups,baseline_mean,candidate_mean,mean_diff,ci_low,ci_high,p_ttest,p_wilcoxon,cohens_dz,win_rate,conditional_win_rate
A0 vs A1 (Room Input),LSD,pair_id,500,1.003007,2.720189,+1.717182,+1.634646,+1.802570,<0.001,<0.001,+1.744987,1.00%,1.00%
A0 vs A1 (Room Input),DMR,pair_id,500,0.942668,0.846422,-0.096246,-0.101645,-0.091035,<0.001,<0.001,-1.577849,3.00%,3.01%
A0 vs A1 (Room Input),COSSIM,pair_id,500,0.980240,0.869067,-0.111173,-0.118472,-0.103904,<0.001,<0.001,-1.315006,1.20%,1.20%
A0 vs A2 (with Pref Loss),LSD,pair_id,500,1.003007,1.002789,-0.000218,-0.008962,+0.008346,0.961,0.795,-0.002186,50.80%,50.80%
A0 vs A2 (with Pref Loss),DMR,pair_id,500,0.942668,0.936363,-0.006305,-0.007504,-0.005101,<0.001,<0.001,-0.453393,27.80%,29.08%
A0 vs A2 (with Pref Loss),COSSIM,pair_id,500,0.980240,0.979743,-0.000497,-0.000907,-0.000081,0.017,0.025,-0.107068,44.60%,44.60%
A0 vs A3 (Pref Input),LSD,pair_id,500,1.003007,5.302622,+4.299616,+4.273683,+4.325243,<0.001,<0.001,+14.321863,0.00%,0.00%
A0 vs A3 (Pref Input),DMR,pair_id,500,0.942668,0.515805,-0.426863,-0.429910,-0.423691,<0.001,<0.001,-12.148295,0.00%,0.00%
A0 vs A3 (Pref Input),COSSIM,pair_id,500,0.980240,0.098406,-0.881834,-0.886383,-0.877358,<0.001,<0.001,-16.817832,0.00%,0.00%
A0_Proposed vs E1_NoEQ,LSD,pair_id,500,1.003007,5.898132,+4.895125,+4.856906,+4.933980,<0.001,<0.001,+10.954467,0.00%,0.00%
A0_Proposed vs E1_NoEQ,DMR,pair_id,500,0.942668,0.476648,-0.466020,-0.470152,-0.461973,<0.001,<0.001,-9.877255,0.00%,0.00%
A0_Proposed vs E1_NoEQ,COSSIM,pair_id,500,0.980240,-0.015376,-0.995616,-1.004522,-0.986704,<0.001,<0.001,-9.862013,0.00%,0.00%
A0_Proposed vs E2_StaticEQ,LSD,pair_id,500,1.003007,3.326987,+2.323980,+2.246081,+2.403832,<0.001,<0.001,+2.611737,0.00%,0.00%
A0_Proposed vs E2_StaticEQ,DMR,pair_id,500,0.942668,0.773016,-0.169652,-0.177027,-0.162664,<0.001,<0.001,-2.083690,0.20%,0.20%
A0_Proposed vs E2_StaticEQ,COSSIM,pair_id,500,0.980240,0.753514,-0.226727,-0.238525,-0.215187,<0.001,<0.001,-1.732907,0.00%,0.00%
A0 vs E3 (Nercessian),LSD,pair_id,500,1.003007,5.942222,+4.939215,+4.894681,+4.984472,<0.001,<0.001,+9.494031,0.00%,0.00%
A0 vs E3 (Nercessian),DMR,pair_id,500,0.942668,0.496383,-0.446285,-0.449875,-0.442746,<0.001,<0.001,-10.866645,0.00%,0.00%
A0 vs E3 (Nercessian),COSSIM,pair_id,500,0.980240,-0.033923,-1.014163,-1.023276,-1.005125,<0.001,<0.001,-9.771778,0.00%,0.00%
A0 vs E4 (Pepe),LSD,pair_id,500,1.003007,5.784862,+4.781856,+4.743101,+4.821596,<0.001,<0.001,+10.338192,0.00%,0.00%
A0 vs E4 (Pepe),DMR,pair_id,500,0.942668,0.499125,-0.443543,-0.447059,-0.440047,<0.001,<0.001,-11.024164,0.00%,0.00%
A0 vs E4 (Pepe),COSSIM,pair_id,500,0.980240,-0.004081,-0.984321,-0.993128,-0.975554,<0.001,<0.001,-9.579336,0.00%,0.00%
A0_Proposed vs E5_Sequential,LSD,pair_id,500,1.003007,3.695998,+2.692992,+2.607264,+2.779114,<0.001,<0.001,+2.721663,0.00%,0.00%
A0_Proposed vs E5_Sequential,DMR,pair_id,500,0.942668,0.762016,-0.180652,-0.187567,-0.173578,<0.001,<0.001,-2.294400,0.60%,0.60%
A0_Proposed vs E5_Sequential,COSSIM,pair_id,500,0.980240,0.711850,-0.268390,-0.281386,-0.255686,<0.001,<0.001,-1.875017,0.00%,0.00%
A0_Proposed vs E6_DSP,LSD,pair_id,500,1.003007,2.266181,+1.263174,+1.236730,+1.289799,<0.001,<0.001,+4.146480,0.00%,0.00%
A0_Proposed vs E6_DSP,DMR,pair_id,500,0.942668,0.888488,-0.054180,-0.057363,-0.051141,<0.001,<0.001,-1.523856,4.00%,4.02%
A0_Proposed vs E6_DSP,COSSIM,pair_id,500,0.980240,0.927232,-0.053008,-0.056317,-0.049730,<0.001,<0.001,-1.428020,0.80%,0.80%
A0_Proposed vs AC1_BiLSTM,LSD,pair_id,500,1.003007,0.847990,-0.155017,-0.167976,-0.142411,<0.001,<0.001,-1.068970,86.40%,86.40%
A0_Proposed vs AC1_BiLSTM,DMR,pair_id,500,0.942668,0.948113,+0.005445,+0.004082,+0.006805,<0.001,<0.001,+0.340412,62.00%,64.85%
A0_Proposed vs AC1_BiLSTM,COSSIM,pair_id,500,0.980240,0.982799,+0.002558,+0.002006,+0.003102,<0.001,<0.001,+0.400591,74.00%,74.00%
A0_Proposed vs AC2_GRU,LSD,pair_id,500,1.003007,0.846690,-0.156317,-0.169594,-0.143175,<0.001,<0.001,-1.064122,87.00%,87.00%
A0_Proposed vs AC2_GRU,DMR,pair_id,500,0.942668,0.947691,+0.005023,+0.003535,+0.006488,<0.001,<0.001,+0.298785,63.00%,66.04%
A0_Proposed vs AC2_GRU,COSSIM,pair_id,500,0.980240,0.982889,+0.002649,+0.002074,+0.003220,<0.001,<0.001,+0.406188,73.00%,73.00%
A0_Proposed vs AC3_Conformer,LSD,pair_id,500,1.003007,0.866482,-0.136525,-0.151689,-0.121852,<0.001,<0.001,-0.796814,82.00%,82.00%
A0_Proposed vs AC3_Conformer,DMR,pair_id,500,0.942668,0.946383,+0.003715,+0.002211,+0.005180,<0.001,<0.001,+0.217458,59.80%,63.89%
A0_Proposed vs AC3_Conformer,COSSIM,pair_id,500,0.980240,0.982551,+0.002311,+0.001670,+0.002935,<0.001,<0.001,+0.321738,72.40%,72.40%
