model,lsd,lsd_std,ci_lo,ci_hi,dmr,cossim,rtf,params,seeds
E1 No Processing,6.033,,5.988,6.080,0.482,0.027,0.0,0,1(orig)
E2 Static Mode EQ,3.700,,3.653,3.749,0.742,0.719,0.0002,0,1(orig)
E3 Nercessian MLP,5.964,,5.921,6.007,0.507,0.011,0.0004,138255,1(orig)
E4 Pepe CNN,5.809,,5.772,5.846,0.504,0.032,0.0006,50351,1(orig)
E5 Sequential,3.573,,3.531,3.614,0.767,0.732,0.0007,138255,1(orig)
E6 DSP Analytical,2.330,,2.310,2.349,0.882,0.919,0.0002,0,1(orig)
AC1 TCN+BiLSTM,0.853,,0.843,0.862,0.947,0.982,0.0062,247713,1(orig)
AC2 TCN+GRU,0.860,,0.850,0.870,0.946,0.982,0.0098,272545,1(orig)
AC3 TCN+Conformer,0.870,,0.860,0.880,0.945,0.982,0.0086,418914,1(orig)
A1 w/o Room Input,2.713,,2.675,2.752,0.845,0.873,0.0049,140033,1(orig)
A3 w/o Pref Input,5.329,,5.295,5.362,0.509,0.084,0.0047,140257,1(orig)
A0 Proposed (±12) ★,1.095,0.142,1.086,1.104,0.929,0.974,0.007,203447,"3(42,123,7)"
A2 with Pref Loss (±12),1.329,0.454,1.312,1.347,0.933,0.958,0.0054,203447,"3(42,123,7)"
