A0_vs,level,metric,delta_mean,delta_std,d_z,d_z_std,win_pct,wilcoxon_p,N
A2,sample,LSD,-0.2342,0.5188,-0.187,0.564,57.9,1.19e-12,3000
A2,sample,DMR,-0.0042,0.0211,0.019,0.351,41.7,,3000
A2,track,LSD,-0.2349,0.5214,-0.229,0.747,58.9,,1306
A2,track,DMR,-0.0050,0.0215,0.025,0.462,,,1306
A1,sample,LSD,-1.6184,0.1417,-1.466,0.153,96.2,0.00e+00,3000
A1,sample,DMR,0.0841,0.0211,0.744,0.218,78.3,,3000
A1,track,LSD,-1.6038,0.1403,-1.832,0.170,98.1,,1306
A1,track,DMR,0.0834,0.0214,0.959,0.274,,,1306
A3,sample,LSD,-4.2335,0.1417,-4.322,0.232,100.0,0.00e+00,3000
A3,sample,DMR,0.4202,0.0211,2.321,0.225,99.0,,3000
A3,track,LSD,-4.2393,0.1403,-5.608,0.268,100.0,,1306
A3,track,DMR,0.4219,0.0214,3.008,0.286,,,1306
E3,sample,LSD,-4.8691,0.1417,-4.034,0.114,100.0,0.00e+00,3000
E3,sample,DMR,0.4222,0.0211,2.309,0.214,98.6,,3000
E3,track,LSD,-4.8917,0.1403,-5.109,0.098,100.0,,1306
E3,track,DMR,0.4268,0.0214,3.054,0.266,,,1306
E4,sample,LSD,-4.7136,0.1417,-4.369,0.276,99.9,0.00e+00,3000
E4,sample,DMR,0.4253,0.0211,2.392,0.294,98.7,,3000
E4,track,LSD,-4.7299,0.1403,-5.590,0.228,100.0,,1306
E4,track,DMR,0.4282,0.0214,3.175,0.390,,,1306
AC1,sample,LSD,0.2423,0.1417,0.697,0.057,20.5,1.07e-211,3000
AC1,sample,DMR,-0.0177,0.0211,-0.277,0.185,29.8,,3000
AC1,track,LSD,0.2427,0.1403,0.941,0.064,12.9,,1306
AC1,track,DMR,-0.0179,0.0214,-0.364,0.247,,,1306
AC2,sample,LSD,0.2350,0.1417,0.662,0.069,21.8,1.89e-187,3000
AC2,sample,DMR,-0.0172,0.0211,-0.262,0.190,30.4,,3000
AC2,track,LSD,0.2371,0.1403,0.919,0.076,13.7,,1306
AC2,track,DMR,-0.0171,0.0214,-0.346,0.253,,,1306
AC3,sample,LSD,0.2248,0.1417,0.620,0.079,23.5,8.11e-170,3000
AC3,sample,DMR,-0.0160,0.0211,-0.233,0.201,32.6,,3000
AC3,track,LSD,0.2243,0.1403,0.841,0.090,15.6,,1306
AC3,track,DMR,-0.0158,0.0214,-0.294,0.267,,,1306
