Model,LSD,ERB_LSD,third_oct_LSD,abs_delta_vs_A0,pct_below_JND
A0 Proposed ±12,1.0950,1.2620,1.0576,0.0000,100.0000
A2 +PrefLoss ±12,1.3292,1.6318,1.2963,0.4063,80.4889
A1 w/o Room,2.7134,3.0559,2.6845,1.6452,13.2778
A3 w/o Pref,5.3285,5.0151,5.3069,4.2336,0.0444
AC1 raw,0.8527,0.8894,0.8259,0.2980,85.4889
AC2 raw,0.8600,0.8986,0.8325,0.2933,85.7778
AC3 raw,0.8702,0.9118,0.8427,0.2917,85.7778
E3 Nercessian,5.9641,5.7826,5.9453,4.8691,0.0333
E4 Pepe,5.8086,5.5915,5.7895,4.7146,0.0778
E6 DSP,2.3296,2.0686,2.1236,1.2502,7.8000
AC1_Biquad,1.0101,1.1491,0.9792,0.2762,86.9889
AC2_Biquad,1.0172,1.1609,0.9865,0.2806,86.4667
AC3_Biquad,1.0103,1.1491,0.9798,0.2859,86.1444
